id,area,outcome,definition_of_done,status,lane,priority,last_active,blocked_by,parent_id,notes
kh-workshop,Kai Hamil,A sellable Kai Hamil workshop offer is ready,"A specific buyer, painful problem, promised outcome, format, price, CTA, and supporting credibility page are published",In Progress,Active,High,2026-09-11,,,System // Self is the curriculum spine
social-posting,Kai Hamil,A sustainable social publishing rhythm is operating,A repeatable publishing cadence is defined and the first complete cycle of posts has been published,To Do,Active,High,2026-09-11,,,Definition of done needs to be clarified before active work resumes
decision-narrowing-engine,Kai Hamil,The Decision Narrowing Engine is demonstrated as a useful decision product,A working demonstration takes a messy group decision through narrowing to a clear commitment and next actions,In Progress,Active,High,2026-09-11,,,Dude Trip is an existing demonstration case
family-photo-books,Family,Our family memories exist as physical photo books,"Important trips, annual family stories, and specific occasions have curated photo books the family can hold and revisit",In Progress,Active,High,2026-09-11T09:21:12-04:00,,,Physical objects preserve moments big and small
photo-book-first-day-school-2026,Family,First Day of School 2026 photo book is in the family's hands,The ordered book has arrived and is ready for the family to revisit,Pended,Active,Normal,2026-09-11T09:21:12-04:00,Waiting for ordered book to arrive,family-photo-books,Created and ordered on 2026-09-10
photo-book-brady-2023,Family,The 2023 Brady annual photo book is complete,A curated 2023 family book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Started but never finished
photo-book-brady-2024,Family,The 2024 Brady annual photo book is complete,A curated 2024 family book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,
photo-book-brady-2025,Family,The 2025 Brady annual photo book is complete,A curated 2025 family book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,
photo-book-brady-2026,Family,The 2026 Brady annual photo book is complete,A curated 2026 family book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Build after enough of the year has been captured
photo-book-azores-2026,Family,The Azores 15 Year trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-lbi-june-2026,Family,The LBI June 2026 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-utahzona-2026,Family,The UtahZona Spring 2026 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-london-march-2025,Family,The London March 2025 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-lbi-2025,Family,The LBI Week 2025 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-disney-2025,Family,The Disney December 2025 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-colombia-2025,Family,The Colombia trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-london-nov-2025,Family,The London November 2025 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-death-valley-2025,Family,The Las Vegas and Death Valley Spring 2025 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-disney-2023,Family,The Disney November 2023 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-dude-trip-2023,Family,The Dude Trip Health Retreat 2023 photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-washington-dc-2023,Family,The Washington DC August 2023 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-lbi-2023,Family,The LBI 2023 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-london-dec-2023,Family,The London December 2023 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-amish-country-2023,Family,The Penn State in Amish Country 2023 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-lbi-2020,Family,The LBI 2020 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-las-vegas-utah-2024,Family,The Las Vegas and Utah 2024 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-london-paris-2024,Family,The London and Paris 2024 trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-summer-road-trip-2024,Family,The Summer Road Trip 2024 photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-dude-trip-2024,Family,The Dude Trip Top of the World 2024 photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-princeton-2024,Family,The Onewheel Princeton 2024 day-trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
photo-book-parx-2024,Family,The Pennsylvania Derby at Parx 2024 day-trip photo book is complete,A curated trip book has been ordered and received,To Do,Backlog,Normal,2026-09-11,,family-photo-books,Source album: Brady Visuals
